items,item_utilities,item_probabilities
178 268 434 810 917 921 1299 1310,399 346 426 171 224 540 827 1194,0.41 0.42 0.85 0.94 0.39 0.97 0.38 0.46
426 858 1068 1075 1228 1368 1518,180 666 633 616 876 1420 1056,0.15 0.81 0.17 0.01 0.03 0.11 0.98
1548,134,0.18
173 843 959 1192 1288,429 882 600 392 276,0.08 0.11 0.17 0.35 0.38
250 306 417 500 999 1382 1455,777 1188 816 798 1084 339 505,0.5 0.09 0.92 0.32 0.81 0.77 0.24
375 631 747 980 1490,687 312 549 688 280,0.56 0.2 0.79 0.84 0.19
123 605,1152 944,0.1 0.29
428 495 632 832 944 1048,268 351 249 648 264 663,0.02 0.41 0.03 0.59 0.47 0.36
224 380 1106 1163 1229,346 244 455 164 390,0.25 0.46 0.2 0.95 0.18
713 1256 1319,1038 366 504,0.73 0.94 0.85
4 104 640 940 1002,728 1167 1036 852 827,0.54 0.45 0.5 0.5 0.31
305 378 621 1077 1110 1127 1253,1017 222 417 1104 1120 1048 513,0.94 0.76 0.8 0.69 0.71 0.51 0.9
303 403 525 825 1301,774 310 570 849 282,0.28 0.04 0.8 0.31 0.63
676,986,0.6
433 799 822 866 1076 1082 1525,522 1136 558 1038 972 382 1572,0.91 0.15 0.05 0.75 0.93 0.23 0.75
48 165 402 568 1224 1276 1444 1533,564 700 451 666 248 572 528 750,0.79 0.37 0.81 0.71 0.38 0.97 0.82 0.8
518 1390 1461,408 764 1024,0.7 0.77 0.66
878 1414,561 268,0.65 0.91
382 638 988 1497,324 944 1444 1316,0.81 0.76 0.86 0.21
4 33 56 99 316 516 811 1479,1092 544 213 944 393 555 891 438,0.76 0.14 0.76 0.87 0.54 0.23 0.43 0.71
141 170 813 840 1189,1179 640 434 411 227,0.8 0.7 0.91 0.87 0.39
344 401 405 511 594 850 1093 1326,684 210 1107 272 174 665 562 684,0.95 0.78 0.89 0.72 0.82 0.27 0.5 0.46
20 176 902 1155 1372 1438,834 681 291 752 747 274,0.82 0.61 0.87 0.71 0.52 0.72
492 629 1045 1195,531 165 1110 498,0.82 0.35 0.7 0.38
106 111 277 932 1153 1315 1432,1184 1044 482 476 156 356 720,0.76 0.88 0.6 0.27 0.81 0.51 0.91
491,1404,0.51
724 928 1128 1240 1344,1176 495 1044 678 455,0.84 0.11 0.49 0.91 0.46
915 1358,574 420,0.19 0.26
399 715 1348,348 775 988,0.41 0.85 0.24
212 382 445 1054 1081 1397,664 324 692 592 1164 572,0.82 0.7 0.14 0.11 0.24 0.12
257 374,159 596,0.93 0.89
97 673 1466,236 822 540,0.6 0.54 0.96
170 414 647 1223 1283 1389 1472,960 1108 1096 236 316 789 440,0.84 0.57 0.6 0.04 0.68 0.77 0.37
178 821 864 1197 1293,532 382 652 1256 576,0.78 0.31 0.04 0.78 0.61
130,669,0.76
612 1484 1555,952 330 1770,0.38 0.02 0.67
1386 1508,492 1062,0.82 0.19
34 477 732 1082 1119,676 172 273 573 634,0.85 0.82 0.91 0.86 0.2
610 720,681 172,0.51 0.92
345 761,422 509,0.58 0.77
152 158 452 495 928 1173,578 474 744 351 495 924,0.24 0.16 0.52 0.15 0.69 0.38
289 492 588 738,411 531 462 370,0.59 0.58 0.6 0.35
339 343 721 732 1248,420 690 451 273 999,0.79 0.59 0.6 0.8 1.0
684 1206 1250 1532,136 1372 432 556,0.98 0.14 0.98 0.34
135 618 728 811,1167 420 567 594,0.23 0.86 0.04 0.84
37 64 160 459 493 936 1495,476 322 639 256 792 834 1044,0.09 0.54 0.62 0.43 0.29 0.19 0.46
68 434 457 500 710 717,1068 426 451 532 476 1568,0.8 0.85 0.61 0.6 0.22 0.2
750 756 1093 1526,975 803 1124 330,0.67 0.78 0.11 0.49
26 99 342 891 974 1245 1261 1494,264 944 300 741 237 463 180 336,0.23 0.86 0.36 0.22 0.28 0.47 0.86 0.38
266 1049 1055,486 1179 486,1.0 0.56 0.59
572 1282,501 1032,0.38 0.37
446 1088 1292 1388 1438 1508 1538,1125 1328 1332 700 548 708 1019,0.05 0.54 0.95 0.8 0.14 0.46 0.71
1257,969,0.9
414,831,0.55
491 774 1483,702 980 426,0.89 0.83 0.03
35 145 744 1110 1177 1393 1547,663 454 782 840 462 370 476,0.87 0.08 0.35 0.19 0.23 0.39 0.22
488 713 879 1535,1036 1038 333 1168,0.78 0.93 0.62 0.61
363,364,0.25
946,855,0.9
929 1385,106 480,0.37 0.35
178 560,399 360,0.26 0.99
174 327 511 787 877,513 240 204 447 632,0.81 0.71 0.04 0.55 0.62
207 411 920 970 1070,372 204 292 933 1053,0.12 0.92 0.04 0.91 0.51
669 702 785 1041 1291 1390 1417 1528,360 1536 684 284 1150 764 1444 732,0.02 0.5 0.81 0.96 0.48 0.61 0.76 0.58
643 666 926 1421,736 356 224 852,0.04 0.25 0.29 0.04
73 560 1375,699 360 852,0.21 0.29 0.03
8 241 751 780 1390 1450,777 1164 657 852 764 554,0.74 0.44 0.32 0.44 0.38 0.26
48 281 857 917 1234 1363,564 789 1110 336 224 798,0.31 0.34 0.19 0.18 0.19 0.22
422 455 482 598 831 927 1370,1468 504 219 455 316 252 952,0.05 0.09 0.21 0.66 0.66 0.92 0.29
1119,951,0.33
1035 1056 1439,333 878 600,0.25 0.42 0.19
107 790,362 231,0.29 0.72
447 503 1123 1279,864 744 392 592,0.37 0.41 0.15 0.16
188 438 937,774 772 722,0.83 0.99 0.59
377 411 494 750 999 1099 1126,630 204 579 585 813 1620 231,0.68 0.67 0.45 0.52 0.99 0.3 0.76
126 275,322 981,0.59 0.02
9 36 336 352 625 725 895 958,726 720 459 134 644 447 195 408,0.53 0.67 0.89 0.44 0.9 0.26 0.92 0.54
922,1036,0.81
206 416 422 716 749 766 865 892,633 996 1101 543 801 248 836 546,0.7 0.64 0.31 0.18 0.21 0.64 0.94 0.86
784 874,104 476,0.22 0.63
132 199 315 338 494 694 1220 1297,384 501 288 113 772 1180 780 664,0.42 0.67 0.88 0.79 0.43 0.85 0.18 0.52
245 1087,298 498,0.36 0.73
37 41 207 863 1245 1362,476 356 372 894 1160 447,0.4 0.52 0.81 0.23 0.98 0.57
354 587 810 1163 1233 1316,675 1308 227 328 292 284,0.49 0.1 0.78 0.24 0.8 0.92
92 103 1161 1484 1544,332 190 1077 198 584,0.46 0.75 0.5 0.72 0.9
159 939 962 1118 1222 1421,513 280 748 586 735 568,0.71 0.55 0.37 0.42 0.56 0.97
1281 1358,554 630,0.35 0.21
27 339 549 593 876 1015 1464,1060 420 504 374 513 657 592,0.51 0.91 0.27 0.03 0.38 0.37 0.18
191 501 740 1150 1533 1543 1556,1148 580 788 957 1000 992 795,0.66 0.25 0.53 0.67 0.25 0.66 0.37
195 804 1120 1291,531 663 513 459,0.16 0.27 0.49 0.03
228 245 315 365 931,246 447 288 792 570,0.82 0.68 0.53 0.05 0.03
779 1016,724 468,0.62 0.13
313 896 916 1079 1322,1140 803 771 442 640,0.78 0.72 0.13 0.65 0.89
527 664 1080 1230,952 522 657 231,0.86 0.27 0.57 0.57
677 870 1193 1253 1359 1369,888 788 267 342 372 676,0.45 0.51 0.53 0.19 0.5 0.1
535 618 839,568 420 198,0.52 0.2 0.64
779 1517 1521,362 174 210,0.95 0.67 0.29
446 475 762 1085 1145 1261 1494,1125 522 1480 672 314 240 504,0.48 0.68 0.77 0.06 0.26 0.02 0.47
294 344 621 637 760 766 910,264 684 556 258 374 124 552,0.33 0.65 0.87 0.91 0.91 0.1 0.73
325 481,453 570,0.92 0.97
58 491 701 707 1001 1150,924 702 225 561 756 1276,0.48 0.17 0.06 0.93 0.13 0.35
327 749,240 1068,0.76 0.11
1348,741,0.7
526 682 882 1408 1465 1485 1531,900 244 747 795 836 600 102,0.95 0.38 0.26 0.89 0.68 0.18 0.06
153 530 636 640 1433 1456,1088 1128 792 1295 1052 732,0.68 0.88 0.09 0.13 0.4 0.95
1181 1370,354 952,0.83 0.28
145 925 948 1208 1408,454 227 888 1148 795,0.65 0.77 0.17 0.4 0.83
80 702,1089 1152,0.5 0.06
502 679,1268 447,0.94 0.48
213 795,112 384,0.19 0.32
444 810 877 1093 1247 1293,777 227 790 843 504 720,0.22 0.43 0.08 0.38 0.85 0.59
188 277 344 1286 1469 1546,516 964 684 270 852 244,0.09 0.4 0.2 0.61 0.4 0.7
125 1467,463 1552,0.37 0.89
214 231 302 352 768 774 917,564 795 1035 200 827 490 336,0.17 0.76 0.82 0.58 0.61 0.39 0.44
100 300 826 882 1502,780 588 549 498 562,0.64 0.17 0.62 0.8 0.58
513 530 600 650 963 1066 1073 1216,231 1504 924 775 720 1156 1035 844,0.56 0.35 0.45 0.4 0.28 0.55 0.92 0.33
24 97 340 973 1079,519 118 189 401 442,0.96 0.51 0.8 0.51 0.2
438 648 854 1164,386 544 480 342,0.91 0.07 0.45 0.97
1155,564,0.62
279 419 989 1511 1555,1128 1071 252 360 590,0.37 0.39 0.48 0.12 0.2
136 369 1005 1322 1451,1161 690 822 960 486,0.15 0.74 0.94 0.3 0.38
288 943 1163 1253,858 741 246 342,0.92 0.97 0.02 0.52
1157 1427,1680 1308,0.49 0.79
191 435 668 890 1244 1410 1493,1148 849 1964 1044 363 688 792,0.78 0.93 0.23 0.6 0.21 0.32 0.2
416,996,0.43
243 300 320 483 919 1275,422 1176 1304 776 462 468,0.39 0.98 0.99 0.09 0.29 0.82
170 193 283 387 449 932 936 1325,960 1839 1092 723 1476 795 1112 286,0.93 0.37 0.28 0.75 0.64 0.1 0.6 0.31
214 263,564 1140,0.56 0.59
64 813,322 290,0.68 0.43
55 66 1231 1235,1050 1032 742 413,0.13 0.67 0.08 0.27
256 286 928 955 972 1305,795 284 495 1149 446 171,0.59 0.73 0.24 0.78 0.26 0.77
396 423 739 868 1012 1344,648 441 714 1074 827 304,0.78 0.37 0.44 0.65 0.4 0.86
44 487 1130 1157 1174 1457 1506,586 780 465 1008 681 668 1029,0.22 0.7 0.31 0.13 0.48 0.31 0.19
607 745 1161 1310,834 254 1077 1194,0.58 0.99 0.86 0.52
125 129 295 951 1171 1333 1450,927 465 936 579 953 279 1108,0.81 0.23 0.66 0.52 0.55 0.73 0.52
509,760,0.81
742 946 1146 1258 1362,1235 855 771 183 447,0.46 0.21 0.7 0.21 0.73
47 933 1376,514 1014 504,0.31 0.95 0.36
247 889 1050 1093 1189 1310 1339,356 644 384 1124 380 1989 393,0.39 0.25 0.06 0.51 0.78 0.09 0.18
382 798 981 1258 1347 1451,324 813 254 183 531 648,0.14 0.51 0.09 0.2 0.15 0.47
30 448 815 1251 1394 1504,705 616 276 1074 759 476,0.66 0.49 0.57 0.32 0.96 0.78
13,530,0.99
196 866 982 1215 1311,988 1038 1152 584 644,0.92 0.45 0.32 0.2 0.67
38 148 231 731 1113 1540,393 1580 795 1143 200 1056,0.87 1.0 0.37 0.96 0.76 0.42
588 678,462 1107,0.46 0.54
45 202 927 1050,159 447 189 512,0.16 0.96 0.85 0.72
572 738 821 1321,753 740 573 747,0.74 0.78 0.54 0.92
470 1092 1192,869 714 392,0.88 0.8 0.62
599 828,696 387,1.0 0.55
139 173 189 289 316 925 1398,358 429 690 411 393 152 1260,0.08 0.44 0.44 0.07 0.38 0.83 0.34
293 299 655 1315,800 840 924 356,0.08 0.47 0.64 0.47
30 274 823 1012 1405,423 1122 1029 827 267,0.76 0.31 0.45 0.61 0.97
648 937,816 1444,0.32 0.08
511,136,0.49
338 521 798 887,113 1089 813 540,0.43 0.73 0.63 0.37
62 1303,1528 204,0.14 0.21
452 935 1045,744 1120 1480,0.83 0.37 0.13
369 778 1161 1184,919 544 1077 852,0.78 0.26 0.53 0.23
88 342 554 560 710 1003 1276 1559,258 600 1256 240 357 312 429 486,0.3 0.47 0.98 0.11 0.01 0.81 0.54 0.44
84 566 570 1363 1386,843 534 648 798 492,0.12 0.29 0.93 0.5 0.94
591 1300,234 434,0.33 0.31
464 1106 1310 1406 1456 1527 1556,712 608 1592 168 549 692 795,0.9 0.07 0.51 0.1 0.3 0.72 0.21
1275,468,0.67
432,705,0.17
509 792 1502,380 852 562,0.94 0.7 0.39
7 53 163 763 1129 1195 1412,522 1083 476 509 729 498 366,0.89 0.81 0.61 0.03 0.83 0.29 0.79
215 898,237 522,0.12 0.3
28 554 631 1024 1230 1387,1173 942 234 1580 231 1396,0.84 0.48 0.87 0.93 0.14 0.08
282 698,279 1165,0.43 0.94
63 186 192 346 485 529 895 961,1180 892 608 848 657 438 195 393,0.14 0.66 0.47 0.05 0.65 0.55 0.14 0.9
144 497 747 1246,204 374 549 462,0.03 0.23 0.24 0.62
387 394 547 687 730 1163 1409,964 1252 924 291 516 164 212,0.27 0.49 0.49 0.74 0.18 0.2 0.62
661 684 840 1144 1439,702 204 548 340 450,0.37 0.87 0.12 0.59 0.68
986,1050,0.28
16 892 982,1149 819 864,0.16 0.2 0.93
1119 1308,634 1032,0.2 0.61
83 732 886,1164 364 1244,0.16 0.09 0.21
224 463 873 1255 1266 1472,519 375 470 372 472 440,0.02 0.09 0.71 0.28 0.09 0.45
49 442 648 1004 1530,1014 896 544 861 508,0.64 0.44 0.35 0.4 0.88
1137 1207,708 756,0.38 1.0
689,880,0.35
223 312 379 1167 1321 1504,638 852 770 705 498 318,0.17 0.54 0.69 0.14 0.48 0.94
680 1047 1069 1113 1329,588 1292 171 200 660,0.61 0.39 0.58 0.03 0.39
104 138 726 826 1363,778 810 642 366 798,0.15 0.08 0.23 0.18 0.29
524 1100,696 144,0.89 0.57
79 102 857,264 735 444,0.38 0.6 0.02
374 384 900 1549,298 162 744 304,0.34 0.95 0.32 0.11
187 216 886 1002 1235,396 1080 1244 1104 690,0.42 0.05 0.85 0.63 0.56
349 1424,936 782,0.69 0.48
473 673 683 750 889 1199,146 548 648 585 483 768,0.91 0.1 0.28 0.17 0.68 0.79
151 217 334 357 513 712 1239 1316,873 272 234 360 231 774 455 213,0.02 0.4 0.84 0.17 0.61 0.4 0.82 0.49
1530,381,0.16
225 488 642 825 881 1101 1191,1945 1036 498 849 543 786 630,0.21 0.73 0.85 0.84 0.6 0.77 0.33
129 373 605 828 1182 1348 1431,465 827 944 387 280 741 564,0.24 0.36 0.14 0.57 0.7 0.35 0.59
354,1125,0.17
181 237 420 857 1213 1402,372 1072 908 666 1465 777,0.27 0.28 0.5 0.07 0.27 0.53
8 318 967 971 1350 1360,777 741 122 855 184 968,0.05 0.4 0.53 0.92 0.43 0.57
1033,573,0.55
151 185 201 301 328 938 1410,873 227 675 212 630 644 516,0.58 0.25 0.26 0.65 0.37 0.44 0.3
20 220 309 376 1035 1158 1318 1501,834 1019 1086 908 333 528 186 1008,0.94 0.91 0.7 0.53 0.99 0.29 0.91 0.33
320 464 564 797 1019 1336 1406,977 712 198 876 1122 1017 168,0.79 0.08 0.37 0.44 0.23 0.91 0.77
679,447,0.1
546 709 1501,556 227 504,0.63 0.41 0.38
280 363,724 364,0.58 0.26
606 710,795 357,0.32 0.15
101 876 1122,216 684 148,0.58 0.32 0.29
177 334 899 1059 1182,332 156 384 455 420,0.38 0.67 0.13 0.1 0.99
41 357 900 962,178 540 558 561,0.07 0.06 0.89 0.58
290 646,509 256,0.23 0.63
44 464 494 614 926 1136 1180 1463,878 1424 772 1134 224 1083 1170 396,0.62 0.15 0.81 0.87 0.84 0.27 0.23 0.87
179 585 1255 1328,825 654 372 678,0.94 0.32 0.66 0.44
252 695,813 1056,0.17 0.8
52 1294,868 516,0.84 0.46
443 925 1036,399 304 856,0.17 0.1 0.48
360 769 1152 1175,524 177 789 692,0.92 0.24 0.52 0.49
283 333 370 836 842 992 1285 1558,1092 396 368 472 640 537 935 864,0.25 0.66 0.14 0.72 0.35 0.46 0.25 0.25
75 557 561 1354 1377,204 408 308 444 849,0.23 0.57 0.31 0.92 0.37
581 1291,852 690,0.81 0.53
455 1097 1301 1397 1447 1517 1547,504 860 376 429 888 115 476,0.76 0.71 0.89 0.45 0.3 0.18 0.5
1266,472,0.83
423,441,0.75
500 783 1492,532 988 304,0.32 0.59 0.68
44 154 753 1120 1186 1402 1556,878 392 378 513 504 518 530,0.23 0.41 0.56 0.44 0.99 0.15 0.74
497 722 1180 1544,748 849 1170 438,0.16 0.24 0.53 0.94
373,552,0.55
955,1149,0.37
938 1394,483 505,0.04 0.94
187 570,396 864,0.33 0.08
183 337 520 796 886,723 225 1120 528 1244,0.46 0.29 0.94 0.97 0.88
638 688 788 1483,630 711 165 426,0.68 0.1 0.03 0.07
368 771 884 988,455 448 1040 1805,0.11 0.89 0.36 0.08
49 558 1197 1257 1374,1352 240 1570 582 867,0.25 0.03 0.23 0.17 0.03
373 652 675 831 914 1122 1135,827 501 1436 474 738 222 588,0.75 0.58 0.03 0.65 0.16 0.41 0.3
18 251 760 789 1399 1459,801 1220 748 1086 712 429,0.92 0.93 0.9 0.2 0.9 0.65
154 387 963 1024 1340 1469,588 723 720 1185 771 639,0.66 0.26 0.02 0.31 0.77 0.69
140 200 316 549 645,364 530 524 672 1660,0.07 0.75 0.97 0.28 0.15
739 762 1221,476 1480 447,0.58 0.3 0.85
1142 1162 1545,590 476 916,0.89 0.56 0.65
214 896,564 803,0.04 0.74
553 609 1229 1385,573 1036 260 720,0.81 0.25 0.07 0.3
155,1143,0.87
301 405 555 1343 1410 1497 1547,159 738 864 574 688 1316 714,0.71 0.76 0.82 0.4 0.75 0.99 0.26
325 409 515 852 908 1018 1091 1334,302 1564 573 138 138 186 1068 368,0.02 0.85 0.58 0.6 0.72 0.74 0.2 0.74
24 94 101 456 685 1399 1407,692 186 216 801 459 356 252,0.7 0.04 0.51 0.55 0.11 0.96 0.99
294 1049,396 786,0.47 0.63
414 464 741 1030,1108 1068 146 792,0.51 0.47 0.24 0.61
15 890 980,458 783 516,0.35 0.7 0.56
703 1306,891 741,0.53 0.2
439 1348,700 741,0.54 0.92
529 545 616 666 1082 1232,657 580 532 356 573 225,0.47 0.77 0.26 0.92 0.33 0.4
93 180 1096 1368,288 138 768 1420,0.14 0.31 0.38 0.68
746 769 1229,1194 295 520,0.32 0.48 0.23
1052,280,0.28
426 1362 1395,240 596 885,0.48 0.26 0.41
854 1297 1526,480 498 330,0.07 0.48 0.65
168 811 1014 1110 1231 1260,252 891 236 1120 1484 200,0.25 0.43 0.64 0.44 0.38 0.43
103 165 825 1361,380 350 566 543,0.22 0.45 0.62 0.25
236 348 425 818 1001 1245,543 246 512 540 756 696,0.27 0.3 0.46 0.24 0.83 0.13
335 1088 1464,1496 996 888,0.92 0.86 0.77
37 87 182 625 1268 1295 1312,476 534 552 483 390 555 306,0.03 0.1 0.02 0.44 0.02 0.63 0.05
357 494 1060,540 579 1148,0.86 0.03 0.72
307 1077,444 1104,1.0 0.9
9 475 481 631 924 1197 1357 1480,968 1044 1140 156 1080 942 1084 576,0.97 0.75 0.5 0.74 0.62 0.93 0.41 0.43
90 488 492 933 1272 1307 1521,308 518 531 1014 744 528 210,0.62 0.51 0.82 0.44 0.64 0.19 0.92
639 843 939 972 989 1089,1312 1470 280 1115 420 1235,0.13 0.27 0.31 0.92 0.02 0.38
553 653 1489 1523,955 1390 346 780,0.75 0.98 0.9 0.59
177 647 853 1423,830 822 776 711,0.67 0.02 0.61 0.2
35 279 512 1088 1148 1337 1464,663 846 822 996 807 171 888,0.34 0.81 0.54 0.64 0.34 0.08 0.8
589 729 1012 1061 1504,530 516 1104 498 476,0.72 0.83 0.48 0.18 0.18
120 369,451 919,0.16 0.25
20 403 929 1557,834 620 212 360,0.97 0.61 0.5 0.35
245 501 617 850 1360,596 434 463 532 484,0.55 0.63 0.34 0.62 0.08
322 378 488 571 1070 1303 1453 1526,1192 333 777 500 702 340 622 660,0.65 0.16 0.72 0.38 0.08 0.46 0.6 0.14
385 541 1064 1107 1390,312 376 162 1080 382,0.21 0.63 0.84 0.47 0.48
858,888,0.56
178 317 1459,266 654 429,0.47 0.43 0.98
51 128 1426,588 159 1122,0.64 0.73 0.94
667 1137 1343,532 354 861,0.39 1.0 0.84
408 419 464 575 658 1540,440 1071 1424 843 536 1056,0.48 0.61 0.91 0.39 0.79 0.65
458 918 1007 1309,600 891 454 1038,0.09 0.3 0.39 0.1
250 460 523 760 793 810 909 1132,518 483 516 748 570 171 310 498,0.6 0.25 0.98 0.78 0.06 0.97 0.07 0.88
341 757 996 1217 1306,831 588 254 381 741,0.78 0.43 0.69 0.69 0.65
407 636 774 796 840 1056 1499,963 528 735 528 548 1465 695,0.17 0.66 0.59 0.03 0.65 0.07 0.87
129 959 1004 1198 1508 1520,620 300 861 1714 1416 1155,0.08 0.57 0.26 0.07 0.24 0.68
1072 1095,585 632,0.87 0.34
26 176 336 1168 1378 1445,440 1135 459 1528 146 222,0.34 0.76 0.61 0.33 0.94 0.96
338 621,171 278,0.42 0.32
1470,723,0.1
494 860 1297 1343 1453 1536,579 702 498 861 1244 399,0.08 0.95 0.12 0.44 0.91 0.64
59 1434,420 372,0.65 0.88
189 399 443 659 725 865 1021,1380 348 532 1284 745 1116 488,0.92 0.64 0.84 0.72 0.68 0.17 0.27
213 739 1368,224 714 1065,0.11 0.48 0.87
219 440 529 602 719 952 956 1122,504 200 657 428 980 1164 240 222,0.48 0.11 0.68 0.25 0.14 0.18 0.38 0.93
165,350,0.1
415,873,0.08
321 943 1043,482 741 628,0.14 0.78 0.21
645 874,996 476,0.49 0.19
1244,363,0.3
362 578,794 458,0.18 0.73
341 391 668 685 807 957 1227,1108 524 786 765 564 891 843,0.21 0.74 0.34 0.64 0.68 0.77 0.07
535 735 847 924 1317 1500 1523,1136 441 1152 810 451 723 468,0.16 0.81 0.88 0.56 0.23 0.37 0.66
6 79 383 489 895,229 528 825 482 260,0.33 0.12 0.88 0.04 0.26
264 420,834 454,0.21 0.49
431 641 647 940 1090,288 1194 548 568 860,0.68 0.64 0.99 0.47 0.69
208 1096,741 768,0.15 0.03
355 521 1177 1397 1487,243 1089 308 286 190,0.66 0.14 0.09 0.79 0.52
102 331 469 492 535 751,980 1132 387 354 568 876,0.57 0.63 0.07 0.45 0.91 0.71
100 882 888,585 747 264,0.98 0.32 0.09
406 1115,328 750,0.97 0.3
630 834 930 980 1079,1120 888 592 688 663,0.4 0.51 0.88 0.72 0.72
197 574 684 1500,1164 534 204 964,0.62 0.5 0.21 0.98
168 378 421 704 844 1293 1414,378 222 885 488 993 288 536,0.1 0.74 0.43 0.85 0.97 0.04 0.71
95 105 118 311 621 788 860 1270,438 1116 444 645 417 220 702 1076,0.42 0.89 0.94 0.07 0.24 0.61 0.56 0.06
163 213,952 224,0.63 0.31
111 860 1315,696 468 534,0.93 0.13 0.71
333 1049 1086,396 786 759,0.83 0.67 0.68
84 527 783 1132 1169,1405 714 988 664 1192,0.16 0.32 0.12 0.23 0.49
312 369 479 562 1061 1294 1517,852 459 645 177 664 688 115,0.77 0.94 0.65 0.9 0.87 0.15 0.95
383 826 1054 1081 1098 1431,1100 549 444 582 417 846,0.34 0.41 0.2 0.97 0.47 0.87
522 549 848 865 1138 1408 1471,488 672 903 1116 1220 1325 310,0.52 0.24 0.88 0.86 0.78 0.92 0.77
25 164 734 934 1046 1300 1516,620 1188 189 550 664 290 1008,0.37 0.9 0.92 0.42 0.22 0.25 0.89
1081,582,0.41
525,1140,0.75
352 535 812 901,134 852 1002 897,0.47 0.42 0.03 0.96
172 805 1414,1328 864 268,0.11 0.5 0.91
83 316 539 855 1398,1552 393 748 723 944,0.66 0.57 0.16 0.27 0.53
235 890 1110 1200,710 1044 840 748,1.0 0.83 1.0 0.98
1006,1070,0.63
301 667 690 950,159 532 576 1735,0.78 0.38 0.75 0.56
195 571 681 1497,708 500 1150 1316,0.21 0.52 0.57 0.81
49 278 321 604 1157 1314,1014 672 964 500 1008 256,0.46 0.8 0.15 0.57 0.52 0.73
70 1012 1355,194 1380 252,0.01 0.92 0.77
746,1194,0.63
1488,468,0.13
577 620 903 1463 1492,524 219 504 594 455,0.65 0.58 0.22 0.49 0.31
11 260,702 552,0.6 0.06
294 304 820,396 756 210,0.25 0.16 0.02
9 229 319 745 805 911 922,726 892 640 170 1152 591 777,0.75 0.29 0.55 0.74 0.38 0.67 0.46
50 200 360 988 1055 1192,1580 530 393 1083 486 196,0.91 0.53 0.19 0.74 0.24 0.39
231 1506,530 1029,0.27 0.25
33 49 149 844 1048 1264 1558,544 1014 996 993 663 470 648,0.04 0.65 0.78 0.36 0.71 0.12 0.89
83 337 449 515 1212 1304 1458,1164 300 1107 382 212 268 869,0.27 0.61 0.6 0.58 0.18 0.97 0.77
108 387 1196 1256 1362 1445,438 723 584 244 596 148,0.54 0.39 0.53 0.54 0.87 0.19
244 927,1080 189,0.42 0.57
271 471 583 660 1053 1259,1185 249 483 840 925 642,0.38 0.95 0.3 0.19 0.7 0.65
20 436,556 459,0.34 0.24
126 169 246 602 1261 1384,483 990 1284 856 240 1028,0.24 0.59 0.53 0.46 0.18 0.88
167 377 676 826,180 630 986 366,0.46 0.62 0.6 0.12
17 406 427 809 832 1336,1196 328 642 244 1296 1356,0.18 0.05 0.9 0.92 0.78 0.18
1084 1140,548 768,0.37 0.93
165 302 325 368 585 1494,700 1035 302 227 872 672,0.37 0.05 0.31 0.47 0.75 0.78
715 1491,620 774,0.51 0.23
239 289 792 798 948 1241 1470 1514,884 411 639 542 1184 894 723 174,0.36 0.79 0.91 0.48 0.19 0.11 0.93 0.5
31 513 517 896 1333,465 231 1360 1072 279,0.15 0.18 0.44 0.75 0.53
538 1247,372 504,0.92 0.87
411 843 1053 1060 1353 1403 1503,153 1176 555 861 672 732 588,0.91 0.88 0.21 0.04 0.02 0.72 0.99
1222,980,0.5
379 440 556 789 885 1328,770 200 650 724 552 903,0.47 0.19 0.68 0.77 0.06 0.35
1405,356,0.75
27 227 443 593 753 1381 1402 1448,795 594 266 561 567 651 777 1182,0.09 0.51 0.04 0.56 0.33 0.46 0.53 0.5
350 587 620 637 736 959 1431,488 654 292 172 639 450 1128,0.14 0.7 0.43 0.37 0.22 0.31 0.86
35 811 1057,663 1188 286,0.19 0.08 0.18
209 365 931 1091 1214,561 792 570 1068 396,0.14 0.79 0.79 0.52 0.37
355 382 698 971 1241 1304,162 486 699 855 894 134,0.44 0.04 0.97 0.04 0.66 0.76
417 447 1089 1116 1133 1416 1466,816 864 741 1011 308 834 720,0.95 0.92 0.7 0.14 0.67 0.52 0.19
607 883 1173,834 869 924,0.17 0.69 0.65
854 931 1286,480 380 360,0.16 0.1 0.04
587 743 1469,981 384 852,0.97 0.21 0.12
321 396 419 879 989,723 1296 1428 333 252,0.91 0.96 0.91 0.96 0.94
589 712 1012,1060 774 1104,0.2 0.07 0.86
50 210 266 333 420 886 1042,1185 616 486 396 454 622 345,0.64 0.72 0.45 0.54 0.12 0.75 0.33
1516,1008,0.13
501 1344,434 608,0.72 0.6
175 235 341 352 585 1410,1155 1420 831 200 654 688,0.49 0.77 0.98 0.54 0.4 0.87
1464 1547,888 714,0.16 0.27
22 33 239 459 548 1197 1202,687 544 663 192 869 1256 1576,0.25 0.98 0.33 0.22 0.6 0.56 0.39
877 950 1193,790 694 356,0.1 0.59 0.5
690 1499,288 417,0.63 0.3
224 234 989 1399,519 1080 252 356,0.71 0.67 0.05 0.67
11 454 1097 1124 1140 1423 1473,1053 279 645 243 768 711 944,0.49 0.89 0.18 0.8 0.44 0.18 0.43
477 614 1030 1180,344 1134 792 1170,0.39 0.55 0.71 0.13
529 749 1028 1265 1432,876 801 896 216 720,0.87 0.17 0.39 0.5 0.2
373 589,552 795,1.0 0.83
792 1238,639 441,0.88 0.74
1136 1392,1083 249,0.75 0.65
50 926 1119 1429 1441,1185 280 1268 720 524,0.2 0.48 0.38 0.45 0.52
468 628 672 888 1383,696 560 1336 352 1036,0.77 0.96 0.03 0.02 0.28
412,413,0.86
